laplacian_min,laplacian_max,laplacian_center,block_count,dpsr_full_psnr_db,dpsr_subnet_psnr_db,bicubic_psnr_db
0.0,0.5217391304347826,0.2608695652173913,13589,53.828435619213046,53.818134464783526,53.77287848754227
0.5217391304347826,1.0434782608695652,0.7826086956521738,3671,48.60978413485468,48.52834846914318,48.19257618419093
1.0434782608695652,1.5652173913043477,1.3043478260869565,2280,44.31218377330847,44.18298139321177,43.55580472527889
1.5652173913043477,2.0869565217391304,1.826086956521739,2105,41.376062446648604,41.18869329982586,40.344995205985676
2.0869565217391304,2.608695652173913,2.3478260869565215,2326,39.38482300946145,39.20473460134308,38.39885115766976
2.608695652173913,3.1304347826086953,2.869565217391304,2241,37.537885916121354,37.34809276303347,36.45058186253178
3.1304347826086953,3.652173913043478,3.391304347826087,2113,36.32447364417174,36.12340794340785,35.134808076821514
3.652173913043478,4.173913043478261,3.913043478260869,2006,35.51873231718571,35.31459548014587,34.276768393435724
4.173913043478261,4.695652173913043,4.434782608695652,1948,34.42511187539698,34.22920271503362,33.171154379599884
4.695652173913043,5.217391304347826,4.956521739130435,1963,33.21306787822177,33.02346882404749,31.896131795338082
5.217391304347826,5.739130434782608,5.478260869565217,1970,32.45965815510242,32.27606086827777,31.158010792611215
5.739130434782608,6.260869565217391,6.0,2008,31.60234771496746,31.42081916284751,30.28046355114515
6.260869565217391,6.782608695652174,6.521739130434782,2023,30.754728176778812,30.582423280385008,29.50399088800631
6.782608695652174,7.304347826086956,7.0434782608695645,2017,30.213204188576178,30.044368215285733,29.03324323700511
7.304347826086956,7.826086956521739,7.565217391304348,2046,29.64489996305076,29.466928485784596,28.414850390668256
7.826086956521739,8.347826086956522,8.08695652173913,2019,28.998987207322973,28.83654754311806,27.82264318272523
8.347826086956522,8.869565217391305,8.608695652173914,1950,28.392615548158304,28.222329889933267,27.208310529268704
8.869565217391305,9.391304347826086,9.130434782608695,2013,27.984078403971292,27.804467991934565,26.762536277714144
9.391304347826086,9.91304347826087,9.652173913043477,1940,27.537693050227215,27.374344803131734,26.360016603568166
9.91304347826087,10.434782608695652,10.173913043478262,1752,27.017605891510776,26.86449583806948,25.876369811628507
10.434782608695652,10.956521739130434,10.695652173913043,1791,26.72133214216802,26.547184153417845,25.530095427878937
10.956521739130434,11.478260869565217,11.217391304347824,1656,26.11464528530692,25.95041948931229,24.992033745355652
11.478260869565217,12.0,11.73913043478261,1636,25.93579863569264,25.76877692742569,24.76717329724785
12.0,12.521739130434781,12.26086956521739,1498,25.363043596652226,25.199545086146355,24.24360499999552
12.521739130434781,13.043478260869565,12.782608695652172,1363,25.259495803038163,25.08306441723382,24.060675273287934
13.043478260869565,13.565217391304348,13.304347826086957,1284,24.925667465661544,24.747757498720354,23.73495279294308
13.565217391304348,14.08695652173913,13.826086956521738,1234,24.909577575263175,24.73863695660905,23.705792142660922
14.08695652173913,14.608695652173912,14.347826086956522,1134,24.54600742044062,24.373261357531135,23.337153036127646
14.608695652173912,15.130434782608695,14.869565217391305,983,24.227678308651868,24.060006169797447,23.014140785892522
15.130434782608695,15.652173913043478,15.391304347826086,886,24.023021238383,23.83885026893013,22.78158365684492
15.652173913043478,16.17391304347826,15.913043478260871,821,23.83315764042695,23.66041533113542,22.60164437892231
16.17391304347826,16.695652173913043,16.434782608695652,738,23.7763795413299,23.610791637968564,22.569224383449814
16.695652173913043,17.217391304347824,16.956521739130434,626,23.361339087684314,23.18399349797648,22.153950307315913
17.217391304347824,17.73913043478261,17.47826086956522,523,23.292307013079494,23.103210660741162,22.038998638466712
17.73913043478261,18.26086956521739,18.0,511,23.19478582542703,22.99399387859785,21.876686238029464
18.26086956521739,18.782608695652172,18.52173913043478,463,23.03303109080436,22.84383551142386,21.727544570329638
18.782608695652172,19.304347826086957,19.043478260869563,415,22.823987423080997,22.634921779402767,21.508922034573843
19.304347826086957,19.82608695652174,19.565217391304348,363,22.600665625790263,22.41230468644912,21.342987643785712
19.82608695652174,20.34782608695652,20.08695652173913,298,22.614726136994843,22.405426332614567,21.267328870376485
20.34782608695652,20.869565217391305,20.608695652173914,295,22.3786889027741,22.170508103451485,21.04316099781101
20.869565217391305,21.391304347826086,21.130434782608695,239,22.23678154725909,22.074594218361828,20.921691423679494
21.391304347826086,21.913043478260867,21.652173913043477,198,22.029671216251874,21.8525282830903,20.73374485247063
21.913043478260867,22.434782608695652,22.173913043478258,163,22.186765506955012,21.984605356228133,20.798648986348343
22.434782608695652,22.956521739130434,22.695652173913043,178,21.532347186227863,21.354897145474894,20.221030771062615
22.956521739130434,23.478260869565215,23.217391304347824,143,21.285878148112264,21.096016570404693,19.98891136863015
23.478260869565215,24.0,23.73913043478261,164,21.43649235004332,21.23858722244821,20.092006363519808
