laplacian_min,laplacian_max,laplacian_center,block_count,dpsr_full_psnr_db,dpsr_subnet_psnr_db,bilinear_psnr_db
0.0,1.0344827586206897,0.5172413793103449,17216,52.739309397882685,52.70222343875573,52.47753394126449
1.0344827586206897,2.0689655172413794,1.5517241379310347,4357,43.01282571744886,42.83199641560643,41.36490957502217
2.0689655172413794,3.1034482758620694,2.586206896551724,4507,38.594166267095396,38.39640232303705,36.787479047265315
3.1034482758620694,4.137931034482759,3.620689655172414,4109,35.988997447574825,35.77503894964661,33.976531806958796
4.137931034482759,5.172413793103448,4.655172413793103,3874,33.9020298168594,33.69099966126985,31.816417648303613
5.172413793103448,6.206896551724139,5.689655172413794,3968,32.07972489970346,31.89559565196114,30.024962458879717
6.206896551724139,7.241379310344828,6.724137931034484,3971,30.56267558558706,30.39067049922285,28.62412847568394
7.241379310344828,8.275862068965518,7.758620689655173,4026,29.378995950815398,29.20666472780367,27.49718482448163
8.275862068965518,9.310344827586208,8.793103448275863,3953,28.225754594790793,28.054324527646873,26.36856794996621
9.310344827586208,10.344827586206897,9.827586206896552,3691,27.36944276638646,27.201694801163136,25.538522717236376
10.344827586206897,11.379310344827587,10.862068965517242,3456,26.526094457617514,26.36181755584699,24.715558202730286
11.379310344827587,12.413793103448278,11.896551724137932,3116,25.714846959316073,25.555653383551267,23.9594397000079
12.413793103448278,13.448275862068966,12.931034482758623,2701,25.171982527573608,24.99684909183597,23.342768735860904
13.448275862068966,14.482758620689657,13.965517241379311,2377,24.754036801072996,24.582999830041356,22.911961635321592
14.482758620689657,15.517241379310345,15.0,1912,24.146491117557222,23.970105859525034,22.299110952780335
15.517241379310345,16.551724137931036,16.03448275862069,1567,23.926781423698966,23.750114528556196,22.00843540208691
16.551724137931036,17.586206896551726,17.06896551724138,1206,23.362095497536224,23.188147043509666,21.4948684635447
17.586206896551726,18.620689655172416,18.10344827586207,997,23.08297363996745,22.905264392420424,21.121990056549652
18.620689655172416,19.655172413793103,19.13793103448276,766,22.75141431644131,22.565616839237062,20.76111116235001
19.655172413793103,20.689655172413794,20.17241379310345,604,22.539004401655387,22.349653995589705,20.5068989826354
20.689655172413794,21.724137931034484,21.20689655172414,490,22.32899064044563,22.141266106586066,20.214789628009406
21.724137931034484,22.758620689655174,22.24137931034483,348,21.874873122949708,21.703136899005408,19.831143275074574
22.758620689655174,23.793103448275865,23.27586206896552,314,21.44330349393711,21.257488849056752,19.391231600646
23.793103448275865,24.827586206896555,24.31034482758621,256,21.042344477027655,20.823812574148178,18.959082167595625
24.827586206896555,25.862068965517242,25.344827586206897,206,21.01424798687685,20.791189054840977,18.83111572265625
25.862068965517242,26.896551724137932,26.379310344827587,173,20.90863586161178,20.63882633716385,18.635168566180102
26.896551724137932,27.931034482758623,27.413793103448278,91,20.498097262539705,20.35027581518823,18.405823466542003
27.931034482758623,28.965517241379313,28.448275862068968,87,20.04830300122842,19.859283600730457,17.916110400495857
28.965517241379313,30.0,29.48275862068966,49,21.118591094503596,20.788759620822205,18.289851811467386
