laplacian_min,laplacian_max,laplacian_center,block_count,fsrcnn_psnr_db,bicubic_psnr_db
0.0,1.0344827586206897,0.5172413793103449,17216,52.7028751063081,52.60165663822433
1.0344827586206897,2.0689655172413794,1.5517241379310347,4357,42.90799141192836,42.09248196512345
2.0689655172413794,3.1034482758620694,2.586206896551724,4507,38.433673263204476,37.53960334569619
3.1034482758620694,4.137931034482759,3.620689655172414,4109,35.811952560305976,34.78844521021895
4.137931034482759,5.172413793103448,4.655172413793103,3874,33.724200650472646,32.623840353694476
5.172413793103448,6.206896551724139,5.689655172413794,3968,31.911763669021667,30.782327671685525
6.206896551724139,7.241379310344828,6.724137931034484,3971,30.411387132055303,29.338107363879306
7.241379310344828,8.275862068965518,7.758620689655173,4026,29.237411938670615,28.195029142183625
8.275862068965518,9.310344827586208,8.793103448275863,3953,28.07989781710458,27.03702392790428
9.310344827586208,10.344827586206897,9.827586206896552,3691,27.229863421828465,26.203113451523368
10.344827586206897,11.379310344827587,10.862068965517242,3456,26.389654147956108,25.36773863269223
11.379310344827587,12.413793103448278,11.896551724137932,3116,25.593041446915947,24.58329125699397
12.413793103448278,13.448275862068966,12.931034482758623,2701,25.045722181114698,23.97747571042007
13.448275862068966,14.482758620689657,13.965517241379311,2377,24.62437931248557,23.557619707896322
14.482758620689657,15.517241379310345,15.0,1912,24.021731429519015,22.936667499183113
15.517241379310345,16.551724137931036,16.03448275862069,1567,23.80448354515363,22.681774807645777
16.551724137931036,17.586206896551726,17.06896551724138,1206,23.23463105918163,22.16088503589282
17.586206896551726,18.620689655172416,18.10344827586207,997,22.959343059849715,21.813211265035953
18.620689655172416,19.655172413793103,19.13793103448276,766,22.613847067710935,21.459711729702065
19.655172413793103,20.689655172413794,20.17241379310345,604,22.4135647514798,21.235811265099127
20.689655172413794,21.724137931034484,21.20689655172414,490,22.188746242133938,20.968850190298898
21.724137931034484,22.758620689655174,22.24137931034483,348,21.757458440188703,20.57759699876281
22.758620689655174,23.793103448275865,23.27586206896552,314,21.298218793929763,20.1271497702143
23.793103448275865,24.827586206896555,24.31034482758621,256,20.879740349948406,19.66649878770113
24.827586206896555,25.862068965517242,25.344827586206897,206,20.84915896295344,19.582974776480963
25.862068965517242,26.896551724137932,26.379310344827587,173,20.742726888270738,19.393518392750295
26.896551724137932,27.931034482758623,27.413793103448278,91,20.40144371200394,19.144380653297507
27.931034482758623,28.965517241379313,28.448275862068968,87,19.91401430108081,18.638266201676995
28.965517241379313,30.0,29.48275862068966,49,20.90874062752237,19.1434430686795
