laplacian_min,laplacian_max,laplacian_center,block_count,dpsr_psnr_db,dpsr_compressed_psnr_db,baseline_psnr_db,bicubic_psnr_db
0.0,0.5384615384615384,0.2692307692307692,2,56.189186096191406,56.206735610961914,56.38876914978027,56.26683235168457
0.5384615384615384,1.0769230769230769,0.8076923076923077,17,47.89956687478458,47.93894464829389,48.18149432014017,47.289857527788946
1.0769230769230769,1.6153846153846154,1.3461538461538463,13,46.9182616013747,46.89835827167217,47.20992161677434,45.865296583909256
1.6153846153846154,2.1538461538461537,1.8846153846153846,6,43.27115567525228,43.29438463846842,43.42102877298991,41.231479008992515
2.1538461538461537,2.692307692307692,2.423076923076923,14,43.224738529750276,43.236725670950754,43.42565699986049,41.08259909493582
2.692307692307692,3.230769230769231,2.9615384615384617,20,41.043155097961424,40.93769760131836,41.160447692871095,38.77982921600342
3.230769230769231,3.769230769230769,3.5,17,39.65681390201344,39.53351974487305,39.875151690314794,37.373419144574335
3.769230769230769,4.3076923076923075,4.038461538461538,25,41.59454238891602,41.440194549560545,41.91173797607422,38.41776809692383
4.3076923076923075,4.846153846153846,4.576923076923077,17,40.20269461239086,40.08874309764189,40.39053165211397,37.51540105483111
4.846153846153846,5.384615384615384,5.115384615384615,12,40.2342898050944,40.1632022857666,40.79217211405436,36.77437973022461
5.384615384615384,5.9230769230769225,5.653846153846153,16,38.63002395629883,38.49512577056885,38.92404508590698,35.426281213760376
5.9230769230769225,6.461538461538462,6.192307692307692,4,37.215187072753906,37.01090717315674,37.372262954711914,34.766451835632324
6.461538461538462,7.0,6.730769230769231,1,37.38934326171875,37.3112678527832,37.73780822753906,34.05923843383789
7.0,7.538461538461538,7.269230769230769,7,35.33671624319894,35.334999084472656,35.431464603969026,32.44185365949358
7.538461538461538,8.076923076923077,7.8076923076923075,7,34.45901298522949,34.33590153285435,34.77788816179548,32.44399070739746
8.076923076923077,8.615384615384615,8.346153846153847,8,33.34213614463806,33.39400553703308,33.646770000457764,30.151734828948975
8.615384615384615,9.153846153846153,8.884615384615383,2,34.5148229598999,34.2703218460083,34.76812744140625,31.097009658813477
9.153846153846153,9.692307692307692,9.423076923076923,2,36.445919036865234,36.41354560852051,36.694190979003906,31.599288940429688
9.692307692307692,10.23076923076923,9.96153846153846,1,35.06053161621094,35.09036636352539,35.6619873046875,29.627798080444336
10.23076923076923,10.769230769230768,10.5,2,30.80998420715332,30.887890815734863,31.167407989501953,27.68616485595703
10.769230769230768,11.307692307692307,11.038461538461537,2,34.498905181884766,34.24759864807129,35.01248741149902,28.0510196685791
11.307692307692307,11.846153846153845,11.576923076923077,6,34.26545079549154,34.064575831095375,34.82916069030762,28.206072171529133
11.846153846153845,12.384615384615383,12.115384615384613,2,34.827104568481445,34.56497383117676,35.35947608947754,28.234586715698242
12.384615384615383,12.923076923076923,12.653846153846153,1,32.91103744506836,32.86532211303711,34.03211212158203,27.845195770263672
12.923076923076923,13.461538461538462,13.192307692307693,2,30.97172260284424,30.915350914001465,31.291770935058594,26.824131965637207
13.461538461538462,14.0,13.73076923076923,2,33.45174217224121,33.255117416381836,33.995323181152344,26.78522300720215
